experience_level,job_title,salary_in_usd,employee_residence,company_location,company_size
SE,Principal Data Scientist,85847,ES,ES,L
MI,ML Engineer,30000,US,US,S
MI,ML Engineer,25500,US,US,S
SE,Data Scientist,175000,CA,CA,M
SE,Data Scientist,120000,CA,CA,M
SE,Applied Scientist,222200,US,US,L
SE,Applied Scientist,136000,US,US,L
SE,Data Scientist,219000,CA,CA,M
SE,Data Scientist,141000,CA,CA,M
SE,Data Scientist,147100,US,US,M
SE,Data Scientist,90700,US,US,M
SE,Data Analyst,130000,US,US,M
SE,Data Analyst,100000,US,US,M
EN,Applied Scientist,213660,US,US,L
EN,Applied Scientist,130760,US,US,L
SE,Data Modeler,147100,US,US,M
SE,Data Modeler,90700,US,US,M
SE,Data Scientist,170000,US,US,M
SE,Data Scientist,150000,US,US,M
MI,Data Analyst,150000,US,US,M
MI,Data Analyst,110000,US,US,M
SE,Research Engineer,275000,DE,DE,M
SE,Research Engineer,174000,DE,DE,M
SE,Analytics Engineer,230000,GB,GB,M
SE,Analytics Engineer,143200,GB,GB,M
SE,Business Intelligence Engineer,225000,US,US,M
SE,Business Intelligence Engineer,156400,US,US,M
SE,Machine Learning Engineer,200000,US,US,M
SE,Machine Learning Engineer,130000,US,US,M
SE,Data Strategist,90000,CA,CA,M
SE,Data Strategist,72000,CA,CA,M
SE,Data Engineer,253200,US,US,M
SE,Data Engineer,90700,US,US,M
SE,Computer Vision Engineer,342810,US,US,M
SE,Computer Vision Engineer,184590,US,US,M
MI,Data Engineer,162500,US,US,M
MI,Data Engineer,130000,US,US,M
MI,Data Analyst,105380,US,US,M
MI,Data Analyst,64500,US,US,M
EN,Data Quality Analyst,100000,NG,NG,L
EN,Compliance Data Analyst,30000,NG,NG,L
MI,Machine Learning Engineer,20984,IN,IN,L
EN,Applied Scientist,204620,US,US,L
EN,Applied Scientist,110680,US,US,L
SE,Data Engineer,270703,US,US,M
SE,Data Engineer,221484,US,US,M
SE,Data Scientist,212750,US,US,M
SE,Data Scientist,185000,US,US,M
SE,Data Scientist,262000,US,US,M
SE,Data Scientist,245000,US,US,M
SE,Data Scientist,275300,US,US,M
SE,Data Scientist,183500,US,US,M
SE,Data Scientist,218500,US,US,M
SE,Data Scientist,199098,US,US,M
SE,Data Engineer,203300,US,US,M
SE,Data Engineer,123600,US,US,M
SE,Research Engineer,189110,US,US,M
SE,Research Engineer,139000,US,US,M
EX,Data Scientist,258750,US,US,M
EX,Data Scientist,185000,US,US,M
SE,Data Engineer,231500,US,US,M
SE,Data Engineer,166000,US,US,M
SE,Data Scientist,172500,US,US,M
